vuosi;aluejakotunniste;aluejakoselite;lukumäärä;ka_pinta_ala_m2;mediaanihinta_eur;keskihinta_eur;rantatyyppi
1991;305;Kuusamo;19;6858;50456;65855;ranta
1991;931;Viitasaari;3;9250;53820;48875;ranta
1991;935;Virolahti;6;3010;47093;44079;ranta
1991;936;Virrat;11;4253;33638;36849;ranta
1991;398;Lahti;5;2027;57184;54997;ranta
1991;402;Lapinlahti;5;8240;28592;29601;ranta
1991;403;Lappajärvi;5;3000;55502;57016;ranta
1991;405;Lappeenranta;6;3975;31956;30134;ranta
1991;976;Ylitornio;4;7368;37843;38263;ranta
1991;416;Lemi;5;5696;50456;51230;ranta
1991;980;Ylöjärvi;14;3266;49195;55202;ranta
1991;417;Lemland;3;2633;42047;50176;ranta
1991;418;Lempäälä;6;2982;45832;39945;ranta
1991;420;Leppävirta;9;4104;26910;30554;ranta
1991;989;Ähtäri;4;4900;27331;29433;ranta
1991;421;Lestijärvi;3;2000;31115;30554;ranta
1991;992;Äänekoski;7;6180;42047;39284;ranta
1991;422;Lieksa;10;4009;27751;34058;ranta
1991;426;Liperi;11;2645;40365;42200;ranta
1991;444;Lohja;15;3946;57184;61478;ranta
1991;433;Loppi;12;3974;50372;47569;ranta
1991;434;Loviisa;3;8900;126141;114928;ranta
1991;435;Luhanka;3;3200;33638;40926;ranta
1991;440;Luoto;5;3600;26910;29345;ranta
1991;441;Luumäki;10;3999;43309;44696;ranta
1991;475;Maalahti;3;3433;38683;36441;ranta
1991;481;Masku;3;7500;52138;51297;ranta
1991;484;Merikarvia;5;3056;37001;44906;ranta
1991;489;Miehikkälä;5;4250;28592;26708;ranta
1991;491;Mikkeli;45;4683;43729;50722;ranta
1991;499;Mustasaari;8;5043;44570;56028;ranta
1991;503;Mynämäki;3;4040;30274;61108;ranta
1991;505;Mäntsälä;3;2683;47934;53540;ranta
1991;507;Mäntyharju;26;4155;50456;52968;ranta
1991;529;Naantali;16;5216;58025;84792;ranta
1991;536;Nokia;13;2420;55502;58930;ranta
1991;541;Nurmes;8;3505;26490;28298;ranta
1991;545;Närpiö;5;4620;35319;38347;ranta
1992;5;Alajärvi;4;1900;42131;42003;ranta
1992;562;Orivesi;14;4440;41206;45291;ranta
1992;10;Alavus;7;2689;28592;28472;ranta
1992;564;Oulu;17;3185;25228;29870;ranta
1992;309;Outokumpu;4;3325;30190;29812;ranta
1992;576;Padasjoki;8;4243;56343;62230;ranta
1992;16;Asikkala;12;4441;64332;85881;ranta
1992;578;Paltamo;4;7825;34899;32587;ranta
1992;580;Parikkala;5;5757;37001;33039;ranta
1992;581;Parkano;11;5056;29433;31787;ranta
1992;49;Espoo;3;9763;109181;99745;ranta
1992;50;Eura;4;5035;43891;48435;ranta
1992;51;Eurajoki;13;3646;52979;64946;ranta
1992;52;Evijärvi;4;3075;33470;40071;ranta
1992;322;Kemiönsaari;13;8482;70639;69073;ranta
1992;445;Parainen;37;6756;58866;82394;ranta
1992;593;Pieksämäki;17;4081;30274;33296;ranta
1992;508;Mänttä-Vilppula;4;4035;35320;37422;ranta
1992;595;Pielavesi;8;4813;26910;31641;ranta
1992;710;Raasepori;17;8848;92503;90841;ranta
1992;790;Sastamala;9;4192;58866;55483;ranta
1992;601;Pihtipudas;8;3350;38263;38368;ranta
1992;75;Hamina;10;4043;35067;50853;ranta
1992;607;Polvijärvi;3;1833;31115;28003;ranta
1992;77;Hankasalmi;8;3128;26910;28823;ranta
1992;608;Pomarkku;12;3342;23546;27681;ranta
1992;609;Pori;11;3502;33638;40824;ranta
1992;611;Pornainen;3;4423;42888;45130;ranta
1992;81;Hartola;13;3995;31956;36963;ranta
1992;638;Porvoo;8;6823;94606;92314;ranta
1992;82;Hattula;4;3033;62230;57815;ranta
1992;614;Posio;3;8767;21864;21584;ranta
1992;615;Pudasjärvi;7;4566;24278;24011;ranta
1992;86;Hausjärvi;6;2565;34058;34619;ranta
1992;111;Heinola;22;5400;57184;58338;ranta
1992;90;Heinävesi;6;4517;37842;39384;ranta
1992;623;Puumala;11;4596;42047;38714;ranta
1992;624;Pyhtää;5;4325;42047;46252;ranta
1992;97;Hirvensalmi;15;7032;37001;43280;ranta
1992;98;Hollola;4;3650;62230;60548;ranta
1992;626;Pyhäjärvi;3;3580;43540;41423;ranta
1992;630;Pyhäntä;4;4463;31536;31746;ranta
1992;631;Pyhäranta;12;4068;61389;64052;ranta
1992;635;Pälkäne;9;2143;46252;44570;ranta
1992;636;Pöytyä;5;4232;52138;56528;ranta
1992;108;Hämeenkyrö;5;2440;42047;47429;ranta
1992;681;Rantasalmi;5;3216;28592;37506;ranta
1992;109;Hämeenlinna;34;3824;51297;46978;ranta
1992;139;Ii;4;6275;47934;64038;ranta
1992;140;Iisalmi;4;2680;28172;27331;ranta
1992;683;Ranua;5;11330;23546;25564;ranta
1992;684;Rauma;7;4030;58025;61677;ranta
1992;142;Iitti;12;3154;49615;48522;ranta
1992;686;Rautalampi;5;3532;27751;32965;ranta
1992;143;Ikaalinen;12;4309;49616;54388;ranta
1992;687;Rautavaara;3;4433;23546;24107;ranta
1992;689;Rautjärvi;6;2897;39524;35179;ranta
1992;146;Ilomantsi;4;6415;33638;32587;ranta
1992;691;Reisjärvi;4;2525;34058;33848;ranta
1992;148;Inari;3;6543;33638;36048;ranta
1992;149;Inkoo;3;5740;84094;109322;ranta
1992;697;Ristijärvi;3;6057;33637;29355;ranta
1992;698;Rovaniemi;9;2300;25228;23379;ranta
1992;700;Ruokolahti;21;3169;35488;40181;ranta
1992;165;Janakkala;3;2525;33553;38655;ranta
1992;167;Joensuu;7;5606;25228;26550;ranta
1992;702;Ruovesi;14;4251;42888;44270;ranta
1992;171;Joroinen;3;4467;30274;29713;ranta
1992;707;Rääkkylä;8;4433;38683;38076;ranta
1992;172;Joutsa;8;5788;42047;39945;ranta
1992;729;Saarijärvi;9;4843;24135;25294;ranta
1992;732;Salla;3;4000;19342;18221;ranta
1992;176;Juuka;7;5133;35319;39644;ranta
1992;734;Salo;22;4500;50456;56381;ranta
1992;177;Juupajoki;4;3618;33638;31956;ranta
1992;178;Juva;6;4380;24135;30190;ranta
1992;179;Jyväskylä;16;4318;41206;44414;ranta
1992;946;Vöyri;9;5472;38683;46196;ranta
1992;738;Sauvo;4;3993;64753;70008;ranta
1992;739;Savitaipale;11;4524;33638;44998;ranta
1992;182;Jämsä;16;4479;32377;34083;ranta
1992;740;Savonlinna;17;4404;30274;33123;ranta
1992;742;Savukoski;3;6537;23546;36721;ranta
1992;747;Siikainen;4;2123;36161;37001;ranta
1992;205;Kajaani;6;2268;43561;39328;ranta
1992;749;Siilinjärvi;5;4272;33469;37304;ranta
1992;751;Simo;4;8535;23126;22495;ranta
1992;211;Kangasala;15;2699;47093;51342;ranta
1992;753;Sipoo;6;5836;94186;118096;ranta
1992;213;Kangasniemi;14;5361;37002;34118;ranta
1992;761;Somero;6;3945;51297;50036;ranta
1992;216;Kannonkoski;6;3250;36581;38459;ranta
1992;765;Sotkamo;8;3326;28172;29223;ranta
1992;768;Sulkava;6;2887;31115;32657;ranta
1992;224;Karkkila;3;4250;56343;119133;ranta
1992;232;Kauhajoki;3;4833;35319;33637;ranta
1992;778;Suonenjoki;4;3565;23967;24177;ranta
1992;781;Sysmä;18;5498;55502;72872;ranta
1992;783;Säkylä;5;1986;75685;77367;ranta
1992;831;Taipalsaari;27;3894;37001;39431;ranta
1992;320;Kemijärvi;3;2500;25228;22425;ranta
1992;833;Taivassalo;8;5401;61389;56217;ranta
1992;834;Tammela;22;4401;54241;56268;ranta
1992;837;Tampere;22;3674;49195;66434;ranta
1992;249;Keuruu;8;3811;30274;31010;ranta
1992;250;Kihniö;5;5134;42888;44570;ranta
1992;848;Tohmajärvi;6;5287;26910;26770;ranta
1992;850;Toivakka;7;3261;39524;39284;ranta
1992;257;Kirkkonummi;8;6230;86197;113422;ranta
1992;853;Turku;13;4357;60127;84060;ranta
1992;260;Kitee;10;2804;38683;42383;ranta
1992;857;Tuusniemi;5;4643;28592;31787;ranta
1992;261;Kittilä;3;5100;47093;48494;ranta
1992;271;Kokemäki;6;3842;44570;41767;ranta
1992;272;Kokkola;8;4590;24387;32996;ranta
1992;887;Urjala;4;3955;45411;45200;ranta
1992;889;Utajärvi;3;2127;25228;30274;ranta
1992;275;Konnevesi;7;6107;38683;45411;ranta
1992;276;Kontiolahti;8;4325;23715;26322;ranta
1992;892;Uurainen;4;3100;35740;39220;ranta
1992;895;Uusikaupunki;16;3284;52138;50404;ranta
1992;785;Vaala;7;3839;33301;35560;ranta
1992;905;Vaasa;6;1837;24808;25368;ranta
1992;285;Kotka;4;6372;36581;41416;ranta
1992;286;Kouvola;32;3667;42047;43540;ranta
1992;290;Kuhmo;6;8512;28172;28228;ranta
1992;291;Kuhmoinen;17;5235;42047;44524;ranta
1992;915;Varkaus;8;2363;26069;25544;ranta
1992;297;Kuopio;50;3959;31056;33350;ranta
1992;921;Vesanto;3;9000;16819;22425;ranta
1992;922;Vesilahti;11;2710;43729;44463;ranta
1992;304;Kustavi;8;8379;55607;66881;ranta
1992;305;Kuusamo;23;4711;28592;50562;ranta
1992;927;Vihti;6;5783;58866;54381;ranta
1992;931;Viitasaari;8;4288;40365;43519;ranta
1992;935;Virolahti;12;4161;47093;49125;ranta
1992;936;Virrat;12;2561;40365;40236;ranta
1992;398;Lahti;8;2770;60128;71480;ranta
1992;400;Laitila;6;2817;29013;28872;ranta
1992;402;Lapinlahti;5;4434;31956;30442;ranta
1992;403;Lappajärvi;3;3850;50456;58025;ranta
1992;405;Lappeenranta;11;3695;31956;33034;ranta
1992;410;Laukaa;3;2400;32797;30274;ranta
1992;976;Ylitornio;4;5150;22706;46672;ranta
1992;416;Lemi;3;6260;35319;32124;ranta
1992;980;Ylöjärvi;17;4326;31956;36831;ranta
1992;418;Lempäälä;5;5866;45411;46824;ranta
1992;420;Leppävirta;12;4361;40365;36669;ranta
1992;989;Ähtäri;14;4082;38683;35470;ranta
1992;992;Äänekoski;5;6722;34815;39087;ranta
1992;422;Lieksa;13;3292;25396;31063;ranta
1992;426;Liperi;12;4327;37506;36693;ranta
1992;444;Lohja;27;5357;50456;57969;ranta
1992;433;Loppi;12;3341;49615;51157;ranta
1992;434;Loviisa;6;3702;72742;74283;ranta
1992;435;Luhanka;3;3483;45411;56175;ranta
1992;440;Luoto;7;2174;30274;31415;ranta
1992;441;Luumäki;11;2886;31115;35962;ranta
1992;475;Maalahti;7;2514;22705;30622;ranta
1992;20;Akaa;3;3777;30274;33077;ranta
1992;481;Masku;3;5257;49784;49111;ranta
1992;484;Merikarvia;4;3810;46252;48774;ranta
1992;491;Mikkeli;36;5133;34479;36581;ranta
1992;494;Muhos;4;2340;29013;28550;ranta
1992;495;Multia;3;2283;38683;38823;ranta
1992;498;Muonio;4;4195;44990;46462;ranta
1992;499;Mustasaari;11;6009;43729;64508;ranta
1992;500;Muurame;3;2143;45411;44962;ranta
1992;505;Mäntsälä;6;4063;64753;75719;ranta
1992;507;Mäntyharju;36;4433;42047;45698;ranta
1992;529;Naantali;25;4037;50456;63588;ranta
1992;536;Nokia;10;2267;41206;42888;ranta
1992;545;Närpiö;7;3281;28592;31595;ranta
1993;560;Orimattila;3;3500;45411;39244;ranta
1993;5;Alajärvi;4;2808;36161;35950;ranta
1993;562;Orivesi;12;5783;39945;40435;ranta
1993;564;Oulu;11;5920;33638;33600;ranta
1993;10;Alavus;8;2256;30274;28802;ranta
1993;309;Outokumpu;4;3490;30274;29433;ranta
1993;576;Padasjoki;16;3873;43729;45726;ranta
1993;16;Asikkala;17;4123;50456;55472;ranta
1993;578;Paltamo;7;3757;30274;32436;ranta
1993;580;Parikkala;6;3547;31956;31676;ranta
1993;581;Parkano;8;4219;31283;32187;ranta
1993;46;Enonkoski;7;4801;37001;36761;ranta
1993;49;Espoo;9;4165;52979;76692;ranta
1993;50;Eura;6;3812;42468;40001;ranta
1993;51;Eurajoki;22;3493;47093;50334;ranta
1993;592;Petäjävesi;3;3260;27583;29377;ranta
1993;322;Kemiönsaari;15;6599;50456;67948;ranta
1993;61;Forssa;5;3668;39188;39709;ranta
